sample_id,details,raw_reads,filtered_reads,reads_mapped_kallisto,reads_tossed_kallisto
W_Amp_1,WISER_VarSkip_MC_Challenge_1_10^3,5062,262,255,7
W_Amp_2,WISER_VarSkip_MC_Challenge_1_10^2,12606,495,462,33
W_Amp_3,WISER_VarSkip_MC_Challenge_1_10^1,9837,395,368,27
W_Amp_4,WISER_VarSkip_MC_Challenge_2_10^3,7988,263,247,16
W_Amp_5,WISER_VarSkip_MC_Challenge_2_10^2,13577,982,948,34
W_Amp_6,WISER_VarSkip_MC_Challenge_2_10^1,15656,307,284,23
W_Amp_7,WISER_VarSkip_MC_Challenge_3_10^3,9001,237,224,13
W_Amp_8,WISER_VarSkip_MC_Challenge_3_10^2,77289,1931,"1,835",96
W_Amp_9,WISER_VarSkip_MC_Challenge_3_10^1,20094,455,404,51
W_Amp_10,WISER_VarSkip_MC_Challenge_4_10^3,2890,93,89,4
W_Amp_11,WISER_VarSkip_MC_Challenge_4_10^2,3080,78,75,3
W_Amp_12,WISER_VarSkip_MC_Challenge_4_10^1,5561,115,105,10
W_Amp_13,WISER_VarSkip_MC_Challenge_5_10^3,5246,319,305,14
W_Amp_14,WISER_VarSkip_MC_Challenge_5_10^2,18175,500,473,27
W_Amp_15,WISER_VarSkip_MC_Challenge_5_10^1,32279,453,422,31
W_Amp_16,WISER_VarSkip_PCR-Grade_H2O,16017,214,161,53
W_Amp_17,WISER_VarSkip_Wastewater_background,5633,739,81,658
W_Amp_18,WISER_VarSkip_C9_-_Twist,1956,150,145,5
W_Amp_19,WISER_VarSkip_Heat_inactivated_SARS-CoV-2_in_PBS,7083,609,599,10
W_Amp_20,WISER_VarSkip_Heat_inactivated_SARS-CoV-2_in_wastewater,11322,2073,4,2069
W_Amp_21,WISER_V4_MC_Challenge_1_10^3,3014,2813,"2,626",187
W_Amp_22,WISER_V4_MC_Challenge_1_10^2,4686,4125,"3,651",474
W_Amp_23,WISER_V4_MC_Challenge_1_10^1,2496,1647,882,765
W_Amp_24,WISER_V4_MC_Challenge_2_10^3,1390,1334,"1,285",49
W_Amp_25,WISER_V4_MC_Challenge_2_10^2,3146,2862,"2,697",165
W_Amp_26,WISER_V4_MC_Challenge_2_10^1,2751,2410,"2,221",189
W_Amp_27,WISER_V4_MC_Challenge_3_10^3,2748,2571,"2,414",157
W_Amp_28,WISER_V4_MC_Challenge_3_10^2,90,32,21,11
W_Amp_29,WISER_V4_MC_Challenge_3_10^1,1311,818,539,279
W_Amp_30,WISER_V4_MC_Challenge_4_10^3,1556,1459,"1,403",56
W_Amp_31,WISER_V4_MC_Challenge_4_10^2,1854,1654,"1,562",92
W_Amp_32,WISER_V4_MC_Challenge_4_10^1,1726,1176,808,368
W_Amp_33,WISER_V4_MC_Challenge_5_10^3,1823,1692,"1,595",97
W_Amp_34,WISER_V4_MC_Challenge_5_10^2,2047,1816,"1,662",154
W_Amp_35,WISER_V4_MC_Challenge_5_10^1,2030,1424,886,538
W_Amp_36,WISER_V4_PCR-Grade_H2O,132,1,0,1
W_Amp_37,WISER_V4_Wastewater_background,8410,3896,5,3891
W_Amp_38,WISER_V4_C9_-_Twist,2918,2795,"2,764",31
W_Amp_39,WISER_V4_Heat_inactivated_SARS-CoV-2_in_PBS,2587,2134,"2,106",28
W_Amp_40,WISER_V4_Heat_inactivated_SARS-CoV-2_in_wastewater,2943,2636,"2,502",134
W_Amp_41,WISER_Midnight_MC_Challenge_1_10^3,4870,460,334,126
W_Amp_42,WISER_Midnight_MC_Challenge_1_10^2,6437,651,553,98
W_Amp_43,WISER_Midnight_MC_Challenge_1_10^1,4169,360,207,153
W_Amp_44,WISER_Midnight_MC_Challenge_2_10^3,10717,1202,"1,154",48
W_Amp_45,WISER_Midnight_MC_Challenge_2_10^2,13175,1572,"1,414",158
W_Amp_46,WISER_Midnight_MC_Challenge_2_10^1,15037,3193,"2,922",271
W_Amp_47,WISER_Midnight_MC_Challenge_3_10^3,12561,1140,"1,103",37
W_Amp_48,WISER_Midnight_MC_Challenge_3_10^2,13020,504,462,42
W_Amp_49,WISER_Midnight_MC_Challenge_3_10^1,15660,1364,762,602
W_Amp_50,WISER_Midnight_MC_Challenge_4_10^3,13890,1317,"1,253",64
W_Amp_51,WISER_Midnight_MC_Challenge_4_10^2,1926,301,286,15
W_Amp_52,WISER_Midnight_MC_Challenge_4_10^1,16693,1752,"1,190",562
W_Amp_53,WISER_Midnight_MC_Challenge_5_10^3,18968,759,715,44
W_Amp_54,WISER_Midnight_MC_Challenge_5_10^2,13480,659,534,125
W_Amp_55,WISER_Midnight_MC_Challenge_5_10^1,18202,776,367,409
W_Amp_56,WISER_Midnight_PCR-Grade_H2O,1124,14,1,13
W_Amp_57,WISER_Midnight_Wastewater_background,11121,308,3,305
W_Amp_58,WISER_Midnight_C9_-_Twist,14662,459,449,10
W_Amp_59,WISER_Midnight_Heat_inactivated_SARS-CoV-2_in_PBS,11112,289,264,25
W_Amp_60,WISER_Midnight_Heat_inactivated_SARS-CoV-2_in_wastewater,13448,1980,11,1969
