"","primer_set","read_length","raw_reads_total","filtered_reads_total","reads_mapped_kallisto_total","raw_reads.avg","raw_reads.sd","filtered_reads.avg","filtered_reads.sd","reads_mapped_kallisto.avg","filtered_raw_reads.avg","filtered_raw_reads.sd","assigned_filtered_reads.avg","assigned_filtered_reads.sd","assigned_raw_reads.avg","assigned_raw_reads.sd","genome_coverage.avg","genome_coverage.sd","depth.avg","depth.sd","percent_genome_20X.avg","percent_genome_20X.sd"
"1","Midnight","PE150",12986064,2540706,2005417,865737.6,416228.485395908,169380.4,85867.8295095766,69257.037657727,20.0185036369714,3.59287994112056,80.4395244906567,18.2904988102921,16.1381532532559,4.93009715799058,80.1591813530415,4.80966553359528,1189.75739557904,569.235954232941,66.007201061209,12.0171423215177
"2","Midnight","PE250",178805,16010,13256,11920.3333333333,5252.91813684365,1067.33333333333,742.076013305786,687.870052788904,9.53276658022336,4.61069659978503,81.1611714938057,16.7444202457923,7.95257469892535,4.67230932569038,56.4924366562998,12.1718063822414,13.552359295054,11.3786614150505,21.3109052603418,15.1391772022375
"3","V4","PE150",4415970,1688811,1405879,294398,117801.337341427,112587.4,48030.2186765195,49734.8248664378,37.0534995344322,4.63076396154135,79.2304426372653,20.5772501321986,29.7650367854091,9.44983851567424,87.9479204985007,10.0361493309393,933.022104805538,481.145745084911,66.5001281922661,19.2876241836258
"4","V4","PE250",32668,27833,24252,2177.86666666667,1044.50835096618,1855.53333333333,981.649549531419,960.71336590503,81.0795267634903,17.06264670835,83.3904324084566,15.2199337206391,69.6758928977285,23.9437474316604,76.6781482348482,20.0973331265608,28.0364980102331,16.746775283557,39.1632946527104,17.3795564618526
"5","VarSkip","PE150",13073956,1133619,1106852,871597.066666667,979140.937783106,75574.6,76300.2447784877,74779.5359763491,9.75627964508048,2.74400623023021,97.7988277949611,1.28845837369553,9.54849065625419,2.71418522637075,95.9941588915271,1.28410348792694,484.114427760871,315.285467771922,92.0598825090013,2.53838268275113
"6","VarSkip","PE250",238341,6885,6496,15889.4,18697.5631215866,459,463.996921172051,442.483811918045,3.4035755564501,1.63505854617491,94.1098601436566,2.19780039871994,3.22212792456766,1.59938451171531,62.9339308207649,22.2435642973024,3.64396883255861,3.57543733087909,2.66127144433669,6.56698568721924
