"","seq_approach","RMSE","R_2"
"1","Midnight_PE150",6.96875445721512,0.759752457887846
"2","Midnight_PE250",7.3431321100065,0.713233095104392
"3","V4_PE150",3.6010155866358,0.934138536527524
"4","V4_PE250",3.79039440292254,0.924129625828324
"5","VarSkip_PE150",3.43208618000249,0.933190803473594
"6","VarSkip_PE250",6.85822598629118,0.729302491698157
